    qid  docid          docno  rank      score                            query
0     1   6513  AP880310-0051     0  22.712942  Coping with overcrowded prisons
1     1  25291  AP880519-0231     1  22.505621  Coping with overcrowded prisons
2     1  58415  AP881002-0014     2  21.529917  Coping with overcrowded prisons
3     1  78680  AP881225-0044     3  21.182791  Coping with overcrowded prisons
4     1  59135  AP881005-0001     4  20.994120  Coping with overcrowded prisons
5     1  63552  AP881021-0218     5  20.908434  Coping with overcrowded prisons
6     1  67730  AP881108-0076     6  20.707569  Coping with overcrowded prisons
7     1  78305  AP881223-0053     7  20.458164  Coping with overcrowded prisons
8     1  49748  AP880825-0054     8  20.425937  Coping with overcrowded prisons
9     1  56027  AP880921-0032     9  19.860570  Coping with overcrowded prisons
10    1  47053  AP880815-0061    10  19.835075  Coping with overcrowded prisons
11    1  56929  AP880926-0180    11  19.721177  Coping with overcrowded prisons
12    1  73364  AP881202-0169    12  18.618829  Coping with overcrowded prisons
13    1  72481  AP881129-0144    13  18.580205  Coping with overcrowded prisons
14    1  42690  AP880726-0173    14  18.295868  Coping with overcrowded prisons
15    1  41097  AP880720-0133    15  17.920571  Coping with overcrowded prisons
16    1  50813  AP880830-0013    16  17.542677  Coping with overcrowded prisons
17    1  47481  AP880816-0174    17  17.365506  Coping with overcrowded prisons
18    1  26872  AP880525-0245    18  17.178850  Coping with overcrowded prisons
19    1  33540  AP880620-0217    19  17.022793  Coping with overcrowded prisons
20    1  41176  AP880720-0212    20  16.988056  Coping with overcrowded prisons
21    1  20457  AP880502-0187    21  16.891788  Coping with overcrowded prisons
22    1  67712  AP881108-0058    22  16.828241  Coping with overcrowded prisons
23    1  37153  AP880704-0017    23  16.756632  Coping with overcrowded prisons
24    1  10495  AP880324-0249    24  16.727820  Coping with overcrowded prisons
25    1  46973  AP880814-0089    25  16.719272  Coping with overcrowded prisons
26    1  21289  AP880505-0074    26  16.679931  Coping with overcrowded prisons
27    1  76016  AP881214-0042    27  16.539371  Coping with overcrowded prisons
28    1  59652  AP881006-0202    28  16.475741  Coping with overcrowded prisons
29    1  31391  AP880611-0042    29  16.437929  Coping with overcrowded prisons
30    1  50371  AP880827-0092    30  16.374289  Coping with overcrowded prisons
31    1  65488  AP881029-0108    31  16.343050  Coping with overcrowded prisons
32    1  16609  AP880418-0085    32  16.336570  Coping with overcrowded prisons
33    1  75306  AP881211-0022    33  16.252601  Coping with overcrowded prisons
34    1  78266  AP881223-0014    34  16.173057  Coping with overcrowded prisons
35    1  67835  AP881108-0181    35  16.140438  Coping with overcrowded prisons
36    1  74116  AP881206-0124    36  16.036332  Coping with overcrowded prisons
37    1  42998  AP880727-0228    37  15.918337  Coping with overcrowded prisons
38    1  59036  AP881004-0180    38  15.848971  Coping with overcrowded prisons
39    1  30310  AP880607-0210    39  15.785960  Coping with overcrowded prisons
40    1   7803  AP880315-0054    40  15.398746  Coping with overcrowded prisons
41    1   7161  AP880312-0057    41  15.359710  Coping with overcrowded prisons
42    1  15730  AP880414-0081    42  15.240521  Coping with overcrowded prisons
43    1  51514  AP880901-0150    43  15.234654  Coping with overcrowded prisons
44    1  52535  AP880906-0154    44  15.230250  Coping with overcrowded prisons
45    1  75522  AP881212-0157    45  14.873361  Coping with overcrowded prisons
46    1  51738  AP880902-0072    46  14.820269  Coping with overcrowded prisons
47    1  41416  AP880721-0145    47  14.783696  Coping with overcrowded prisons
48    1  44362  AP880802-0213    48  14.757121  Coping with overcrowded prisons
49    1  22204  AP880509-0008    49  14.725406  Coping with overcrowded prisons
50    1   7619  AP880314-0204    50  14.633030  Coping with overcrowded prisons
51    1  10432  AP880324-0186    51  14.575784  Coping with overcrowded prisons
52    1  47136  AP880815-0144    52  14.563263  Coping with overcrowded prisons
53    1   3983  AP880229-0107    53  14.510095  Coping with overcrowded prisons
54    1  42560  AP880726-0043    54  14.291241  Coping with overcrowded prisons
55    1   3437  AP880226-0124    55  14.283562  Coping with overcrowded prisons
56    1  39372  AP880713-0089    56  14.047969  Coping with overcrowded prisons
57    1  49865  AP880825-0171    57  13.999692  Coping with overcrowded prisons
58    1  27014  AP880526-0013    58  13.965049  Coping with overcrowded prisons
59    1  23966  AP880515-0009    59  13.942145  Coping with overcrowded prisons
